City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
vaini,12,IN,1554249600,88,15.34,74.49,66.2,4.7
hirara,75,JP,1554249600,88,24.8,125.28,64.4,11.41
ushuaia,75,AR,1554249600,75,-54.81,-68.31,42.8,21.92
saint-philippe,90,CA,1554251453,41,45.36,-73.48,45,9.17
hofn,0,IS,1554251566,100,64.25,-15.21,28.56,10.2
punta arenas,90,CL,1554251553,93,-53.16,-70.91,42.8,10.29
kapaa,20,US,1554251298,57,22.08,-159.32,82.4,19.46
hithadhoo,68,MV,1554251461,100,-0.6,73.08,84.09,9.42
haradok,0,BY,1554251567,73,55.46,29.99,24.33,2.82
noumea,0,NC,1554249600,48,-22.28,166.46,87.8,3.36
tazovskiy,80,RU,1554251567,88,67.47,78.7,22.98,12.33
bambous virieux,40,MU,1554251340,83,-20.34,57.76,77,5.73
hobart,75,AU,1554251294,48,-42.88,147.33,66.2,13.87
samalaeulu,0,na,0,0,0,0,0,0
saleaula,0,na,0,0,0,0,0,0
palabuhanratu,0,na,0,0,0,0,0,0
ishii,40,JP,1554250743,61,34.09,134.42,48.2,6.93
hermanus,0,ZA,1554251479,84,-34.42,19.24,62.01,5.99
nizhneyansk,0,na,0,0,0,0,0,0
sur,36,OM,1554251480,82,22.57,59.53,79.32,3.27
westport,80,IE,1554251406,76,53.8,-9.52,42.01,25.99
antsohihy,24,MG,1554251569,98,-14.88,47.99,73.38,3.38
yeppoon,20,AU,1554249600,57,-23.13,150.74,80.6,14.99
araouane,8,ML,1554251570,27,18.9,-3.53,81.57,11.32
mataura,0,NZ,1554251408,66,-46.19,168.86,60.01,4.38
tambacounda,20,SN,1554249600,41,13.77,-13.67,95,11.41
evinayong,76,GQ,1554251571,97,1.44,10.55,72.39,2.37
teguise,20,ES,1554249600,55,29.06,-13.56,66.2,4.7
barentsburg,0,na,0,0,0,0,0,0
kodiak,1,US,1554251324,18,39.95,-94.76,53.6,4.7
quatre cocos,40,MU,1554251340,83,-20.21,57.76,77,5.73
dikson,88,RU,1554251572,100,73.51,80.55,26.58,20.04
vanimo,36,PG,1554251572,96,-2.67,141.3,84.09,14.9
port blair,20,IN,1554249600,94,11.67,92.75,75.2,5.28
klaksvik,88,FO,1554249000,74,62.23,-6.59,35.6,36.91
dimitrovgrad,88,RU,1554249600,64,54.22,49.6,33.8,20.13
bengkulu,0,na,0,0,0,0,0,0
fuzhou,90,CN,1554249600,93,26.08,119.3,57.2,4.47
neyshabur,8,IR,1554251574,56,36.21,58.79,47.73,5.39
sabha,0,LY,1554251545,53,27.03,14.43,57.54,2.82
iqaluit,90,CA,1554251524,71,63.75,-68.52,5,19.46
shasta lake,90,US,1554251511,87,40.68,-122.36,57.99,3.6
amderma,0,na,0,0,0,0,0,0
mar del plata,0,AR,1554251575,38,-46.43,-67.52,65.55,16.8
new norfolk,75,AU,1554251534,77,-42.78,147.06,59,17.22
cidreira,0,BR,1554251463,86,-30.17,-50.22,73.2,6.17
norman wells,75,CA,1554249600,61,65.28,-126.83,12.2,12.75
mahon,75,IE,1554249600,86,51.89,-8.4,37.4,21.92
albany,90,US,1554251556,29,42.65,-73.75,48.2,9.17
deputatskiy,20,RU,1554251577,81,69.3,139.9,2.46,3.83
saint-pierre,88,FR,1554251224,93,48.95,4.24,46.4,5.82
sitka,8,US,1554251405,58,37.17,-99.65,54,7
toliary,0,na,0,0,0,0,0,0
santa maria da boa vista,80,BR,1554251577,68,-8.8,-39.83,78.96,7.63
barrow,0,AR,1554251578,65,-38.31,-60.23,62.13,10.98
suba,80,CN,1554251578,98,28.73,103.51,52.59,2.37
meadow lake,20,CA,1554249600,51,54.13,-108.44,32,16.11
saskylakh,88,RU,1554251579,92,71.97,114.09,25.41,4.27
wasilla,1,US,1554251548,49,61.58,-149.44,48.99,4.7
tiksi,32,RU,1554251579,80,71.64,128.87,10.02,2.26
jamestown,0,AU,1554251468,52,-33.21,138.6,68.79,4.61
nanortalik,24,GL,1554251281,95,60.14,-45.24,32.07,18.25
longlac,0,na,0,0,0,0,0,0
khatanga,64,RU,1554251451,91,71.98,102.47,17.58,5.61
huari,92,PE,1554251581,97,-9.35,-77.17,42.78,2.26
kurtamysh,92,RU,1554251582,92,54.91,64.43,33.42,14.56
marcona,0,na,0,0,0,0,0,0
kaitangata,0,NZ,1554251500,45,-46.28,169.85,61,3
baruun-urt,0,MN,1554251582,58,46.68,113.28,33.42,3.94
halifax,40,CA,1554251525,93,44.65,-63.58,35.01,16.11
tarakeswar,40,IN,1554249600,94,22.89,88.02,77,6.93
thompson,90,CA,1554250800,56,55.74,-97.86,12.2,12.75
doha,75,QA,1554249600,73,25.29,51.53,69.8,2.24
comodoro rivadavia,0,AR,1554249600,32,-45.87,-67.48,68,17.22
riyadh,0,SA,1554249600,45,24.63,46.72,62.6,3.36
samarkand,80,UZ,1554249600,72,39.65,66.98,60.8,6.93
carnarvon,0,ZA,1554251585,49,-30.97,22.13,48.81,2.71
wadi musa,48,JO,1554251585,83,30.32,35.48,43.23,1.14
illoqqortoormiut,0,na,0,0,0,0,0,0
meyungs,0,na,0,0,0,0,0,0
puerto ayora,40,EC,1554250585,78,-0.74,-90.35,82.4,8.05
vestmannaeyjar,0,IS,1554251586,100,63.44,-20.27,29.91,5.84
atuona,0,PF,1554251586,100,-9.8,-139.03,81.93,12.55
beringovskiy,88,RU,1554251586,100,63.05,179.32,29.64,18.25
santa isabel do rio negro,0,BR,1554251587,92,-0.41,-65.02,79.23,2.82
majene,12,ID,1554251587,100,-3.54,118.97,80.13,2.71
butaritari,92,KI,1554251587,100,3.07,172.79,77.34,9.75
kampala,0,UG,1554251516,93,0.32,32.58,65.28,5.95
georgetown,40,GY,1554249600,83,6.8,-58.16,77,6.93
boralday,90,KZ,1554249600,100,43.36,76.86,37.4,2.24
kutum,0,SD,1554251588,41,14.2,24.66,56.64,4.16
nhulunbuy,40,AU,1554249600,88,-12.18,136.78,80.6,8.05
miles city,90,US,1554251540,39,46.41,-105.84,52,8.05
la asuncion,92,EC,1554251589,97,-1.64,-78.74,49.53,1.03
camden,90,US,1554251557,94,39.94,-75.12,45,8.05
resavica,48,RS,1554251590,50,44.04,21.58,43.32,6.06
chicama,75,PE,1554249600,88,-7.84,-79.15,68,9.17
cap malheureux,40,MU,1554251340,83,-19.98,57.61,77,9.98
brae,92,GB,1554249000,93,60.4,-1.35,39.2,27.51
lavrentiya,0,RU,1554251591,100,65.58,-170.99,30,6.62
kajaani,0,FI,1554249000,55,64.22,27.73,33.8,10.29
maningrida,36,AU,1554251591,95,-12.05,134.23,81.93,18.25
flin flon,40,CA,1554246000,44,54.77,-101.88,21.2,16.11
tuktoyaktuk,40,CA,1554249600,70,69.44,-133.03,-2.21,11.41
concordia,0,AR,1554251212,76,-31.4,-58.02,79,5.61
isangel,75,VU,1554249600,66,-19.55,169.27,87.8,13.87
ballina,68,IE,1554251584,79,54.11,-9.15,42.01,11.01
mundra,0,IN,1554251593,67,22.84,69.73,77.61,11.54
nouakchott,20,MR,1554249600,88,18.08,-15.98,64.4,11.41
lolua,0,na,0,0,0,0,0,0
cabo san lucas,20,MX,1554250604,20,22.89,-109.91,86,14.99
vardo,75,US,1554251346,45,39.62,-77.74,45,5.82
zaranj,0,AF,1554249600,56,30.95,61.86,68,6.93
yar-sale,36,RU,1554251585,78,66.83,70.83,17.49,16.02
torbay,20,CA,1554251510,74,47.66,-52.73,32,14.99
opuwo,0,NA,1554251595,86,-18.06,13.84,61.05,2.48
mys shmidta,0,na,0,0,0,0,0,0
eirunepe,0,BR,1554251315,83,-6.66,-69.87,82.83,2.71
kendari,48,ID,1554251596,98,-3.99,122.52,76.08,3.04
qaanaaq,0,GL,1554251596,67,77.48,-69.36,-5.73,7.63
upernavik,88,GL,1554251596,100,72.79,-56.15,13.08,19.71
sedelnikovo,0,na,0,0,0,0,0,0
kushmurun,0,na,0,0,0,0,0,0
nuuk,0,GL,1554249000,59,64.17,-51.74,35.6,44.96
codrington,90,AU,1554251399,88,-28.95,153.24,71.6,5.28
northam,20,GB,1554251562,93,51.04,-4.21,39.99,3.36
aljezur,32,PT,1554251550,86,37.31,-8.8,57,3
juneau,75,US,1554249360,35,58.3,-134.42,57.2,8.05
mahebourg,40,MU,1554251340,83,-20.41,57.7,77,5.73
san quintin,68,PH,1554251598,92,17.54,120.52,73.38,3.38
levelland,75,US,1554251573,19,33.59,-102.38,75.2,16.11
shadrinsk,92,RU,1554251527,89,56.09,63.63,32.79,13.22
tasiilaq,92,GL,1554249000,85,65.61,-37.64,24.8,36.91
kamaishi,20,JP,1554249600,64,39.28,141.86,37.4,6.93
hvide sande,80,DK,1554251361,87,56.01,8.13,46,9.17
prescott valley,20,US,1554251503,18,34.61,-112.32,72,19.46
arraial do cabo,20,BR,1554249600,88,-22.97,-42.02,69.8,1.12
kahului,40,US,1554251079,54,20.89,-156.47,82.4,18.34
narsaq,88,GL,1554249000,89,60.91,-46.05,32,6.93
humboldt,68,CA,1554251601,71,52.21,-105.12,28.56,15.57
chuy,20,UY,1554251466,75,-33.69,-53.46,73.74,7.52
sisimiut,76,GL,1554251462,100,66.94,-53.67,26.31,2.15
allanmyo,0,na,0,0,0,0,0,0
ylivieska,12,FI,1554251412,62,64.07,24.53,35.01,7
sentyabrskiy,0,na,0,0,0,0,0,0
attawapiskat,0,na,0,0,0,0,0,0
vaitupu,0,na,0,0,0,0,0,0
mandera,0,ET,1554251492,13,3.94,41.86,73,6.51
arlit,0,NE,1554251603,32,18.74,7.39,74.91,3.15
mayo,75,CA,1554249600,37,63.59,-135.9,37.4,13.87
kudahuvadhoo,0,MV,1554251603,100,2.67,72.89,82.83,7.63
sugod,80,PH,1554251604,98,12.99,124.08,79.41,10.98
pevek,20,RU,1554251604,83,69.7,170.27,28.56,13.67
macheng,88,CN,1554251604,77,31.18,115.03,53.49,5.39
havre-saint-pierre,40,CA,1554249600,79,50.23,-63.6,28.4,8.05
satitoa,0,na,0,0,0,0,0,0
abu dhabi,20,AE,1554249600,61,24.47,54.37,78.8,8.05
sionogan,0,PH,1554251605,91,6.01,120.95,82.92,2.93
cleveland,90,US,1554251582,26,41.51,-81.69,48.2,6.93
ponta delgada,20,PT,1554251605,76,37.73,-25.67,55.4,12.75
bethel,1,US,1554249360,65,60.79,-161.76,46.4,16.11
mahendranagar,0,IN,1554251607,68,28.02,81.63,58.53,2.71
longyearbyen,75,NO,1554249000,77,78.22,15.63,6.8,2.24
haibowan,0,na,0,0,0,0,0,0
avarua,0,CK,1554249600,69,-21.21,-159.78,82.4,11.41
sartell,75,US,1554251376,44,45.62,-94.21,42.8,17.22
grindavik,0,IS,1554250915,73,63.84,-22.43,27,6.93
hasaki,20,JP,1554251429,39,35.73,140.83,46.99,10.29
kozmodemyansk,0,RU,1554249600,54,56.33,46.55,30.2,8.95
port elizabeth,90,US,1554251600,100,39.31,-74.98,46,14.99
bud,44,NO,1554251462,69,62.91,6.91,41,6.93
mokshan,8,RU,1554250263,48,53.44,44.61,36,15.79
altamira,36,BR,1554251530,86,-3.2,-52.21,79.5,4.38
ribeira grande,56,PT,1554251610,100,38.52,-28.7,59.07,17.47
panguipulli,0,CL,1554249600,77,-39.64,-72.33,59,5.82
vila velha,75,BR,1554251290,83,-3.71,-38.6,82,5.82
vlasenica,0,BA,1554249600,75,44.18,18.94,46.4,1.12
suluq,24,LY,1554251611,75,31.67,20.25,51.24,9.08
saint george,20,GR,1554249000,71,39.45,22.34,51.8,6.93
nagato,20,JP,1554251193,53,34.35,131.14,53.01,3.36
sept-iles,75,CA,1554251311,55,50.2,-66.38,33.8,8.05
viransehir,88,TR,1554251612,96,37.24,39.76,48.99,5.06
tres arroyos,0,AR,1554251613,65,-38.38,-60.28,62.13,10.98
mombetsu,75,JP,1554250866,97,44.35,143.35,32,16.11
talnakh,80,RU,1554251613,86,69.49,88.39,20.82,2.59
belushya guba,0,na,0,0,0,0,0,0
laje,88,BR,1554251614,83,-13.18,-39.42,74.37,8.97
hearst,80,CA,1554251614,68,49.69,-83.67,38.1,9.98
sambava,68,MG,1554251614,100,-14.27,50.17,82.38,12.1
pierre,1,US,1554251463,48,44.37,-100.35,48.99,14.99
pryazha,0,RU,1554249600,68,61.69,33.62,30.2,8.95
sao filipe,12,CV,1554251615,99,14.9,-24.5,70.14,11.99
saint-augustin,92,FR,1554251600,87,44.83,-0.61,48.2,8.05
poum,56,MK,1554251616,97,41.28,20.71,42.06,1.81
port pirie,8,AU,1554249600,26,-33.18,138.01,80.6,12.75
lasa,0,CY,1554251412,87,34.92,32.53,51.8,5.82
lompoc,90,US,1554251370,93,34.64,-120.46,64.4,12.75
springbok,0,ZA,1554251617,65,-29.67,17.88,52.95,2.26
viedma,0,AR,1554251617,57,-40.81,-62.99,59.61,5.28
resistencia,75,AR,1554249600,94,-27.45,-58.99,75.2,2.24
bugiri,0,UG,1554251618,89,0.57,33.75,68.43,1.92
stornoway,0,na,0,0,0,0,0,0
kita,20,JP,1554251608,29,35.76,139.74,52,17.22
moose factory,20,CA,1554249600,44,51.26,-80.61,41,10.29
husavik,24,CA,1554251426,61,50.56,-96.99,28,7
listvyanskiy,56,RU,1554251619,82,54.44,83.49,21.27,2.71
nome,1,US,1554251612,51,30.04,-94.42,66.2,5.28
berlin,0,DE,1554251488,61,52.52,13.39,54,8.05
guarapari,75,BR,1554249856,83,-20.67,-40.5,75.2,4.7
doctor juan leon mallorquin,90,PY,1554249600,100,-25.4,-55.27,69.8,6.93
coquimbo,20,CL,1554249600,93,-29.95,-71.34,59,5.82
ahipara,0,NZ,1554251621,78,-35.17,173.16,68.79,8.52
port moresby,40,PG,1554246000,94,-9.47,147.16,78.8,5.82
cockburn town,0,TC,1554251601,100,21.46,-71.14,78.15,10.98
ketchikan,1,US,1554249180,31,55.34,-131.65,64.4,13.87
eureka,90,US,1554251532,93,40.8,-124.16,57.99,8.05
renala khurd,0,PK,1554251622,62,30.88,73.6,66.09,2.71
benguela,0,AO,1554251623,100,-12.58,13.4,79.5,4.05
oksfjord,92,NO,1554251430,92,70.24,22.35,30.99,5.82
durango,90,US,1554251400,23,37.28,-107.88,61,8.05
le port,76,FR,1554251473,92,42.87,1.37,48,1.81
portsmouth,12,GB,1554251338,100,50.8,-1.08,37,4.7
nikolskoye,0,RU,1554251454,68,59.7,30.79,32,2.24
alofi,40,NU,1554249600,65,-19.06,-169.92,82.4,11.41
touros,0,BR,1554249600,88,-5.2,-35.46,80.6,4.7
hamilton,90,CA,1554251487,52,43.26,-79.87,45,9.17
necochea,0,AR,1554251292,48,-38.55,-58.74,57.99,3
birao,0,CF,1554251626,35,10.3,22.78,70.14,5.73
shelburne,90,CA,1554251494,52,44.08,-80.2,44.6,9.17
saldanha,0,PT,1554251627,69,41.42,-6.55,44.58,5.73
lander,90,US,1554251509,56,42.83,-108.73,46.4,4.7
esperance,75,TT,1554251484,74,10.24,-61.45,79,3.36
midyat,90,TR,1554249600,87,37.42,41.36,50,14.99
cubara,76,CO,1554251628,96,7,-72.11,69.69,2.15
tuatapere,0,NZ,1554251408,66,-46.13,167.69,60.01,3.6
russell,0,AR,1554249600,53,-33.01,-68.8,77,4.7
grand gaube,40,MU,1554251340,83,-20.01,57.66,77,9.98
aswan,0,EG,1554246000,19,24.09,32.9,66.2,4.7
dingle,12,PH,1554251629,69,11,122.67,79.23,12.44
lebu,75,ET,1554249600,72,8.96,38.73,60.8,3.36
buluang,20,PH,1554249600,65,10.47,123.98,82.4,8.05
port hardy,90,CA,1554249600,54,50.7,-127.42,57.2,2.24
coahuayana,0,MX,1554251630,22,18.62,-100.35,85.17,2.82
henties bay,0,NA,1554249730,90,-22.12,14.28,59,3
kailua,75,US,1554251417,63,21.39,-157.74,84.2,12.75
platteville,1,US,1554251562,55,42.73,-90.48,51.8,13.87
chancay,40,PE,1554251403,83,-11.56,-77.27,71.6,8.05
ancud,0,CL,1554249600,87,-41.87,-73.83,50,6.93
lure,76,FR,1554251610,93,47.69,6.5,52,4.7
constantine,40,DZ,1554249600,93,36.36,6.61,48.2,4.7
san patricio,76,PY,1554251471,94,-26.98,-56.83,70.86,4.27
miri,0,NG,1554251452,52,10.31,9.75,67.08,3.49
provideniya,40,RU,1554249600,74,64.42,-173.23,30.2,17.9
bhainsdehi,0,IN,1554251633,64,21.65,77.63,65.01,2.71
saint-raymond,90,CA,1554251512,64,46.89,-71.84,39.99,4.7
tadine,44,NC,1554251634,89,-21.55,167.88,81.48,13
jalu,0,LY,1554251634,46,29.03,21.55,62.49,10.65
robertsport,68,LR,1554251634,100,6.75,-11.37,77.43,4.05
kalmunai,0,LK,1554251635,100,7.42,81.82,70.68,2.93
rudnyy,20,KZ,1554249600,86,52.96,63.12,39.2,13.42
colares,20,PT,1554251471,87,38.8,-9.45,55.99,10.29
port hawkesbury,1,CA,1554251603,47,45.62,-61.36,36,8.05
luau,56,CD,1554251636,80,-10.7,22.23,70.86,3.15
bentiu,0,na,0,0,0,0,0,0
pacific grove,40,US,1554251633,67,36.62,-121.92,63,13.87
gladstone,0,AU,1554251400,51,-23.84,151.26,82.99,16.11
portel,0,PT,1554249600,93,38.31,-7.71,51.8,5.82
roald,92,NO,1554251462,75,62.58,6.12,41,5.82
kununurra,0,AU,1554249600,30,-15.77,128.74,84.2,6.93
olafsvik,0,na,0,0,0,0,0,0
krasnoye,0,RU,1554251445,86,44.87,39.46,42.01,8.95
maumere,12,ID,1554251638,99,-8.63,122.22,82.74,4.72
severo-kurilsk,88,RU,1554251639,94,50.68,156.12,32.7,17.25
hereford,64,GB,1554251346,92,52.06,-2.72,37,2.71
faya,0,SA,1554249600,72,18.39,42.45,60.8,4.7
anadyr,20,RU,1554251553,92,64.73,177.51,26.6,6.71
aklavik,40,CA,1554249600,65,68.22,-135.01,5,8.05
malinovoye ozero,8,RU,1554251640,85,51.68,79.77,36.03,6.73
borogontsy,76,RU,1554251640,65,62.67,131.17,26.58,4.72
goya,0,AR,1554251641,74,-29.14,-59.27,78.15,6.06
hovd,0,NO,1554251465,59,63.83,10.7,37.99,14.99
asau,0,na,0,0,0,0,0,0
fort nelson,90,CA,1554249600,62,58.81,-122.69,32,5.82
priargunsk,0,RU,1554251642,38,50.37,119.09,32.79,11.43
svetlogorsk,90,RU,1554249600,82,53.14,59.15,33.8,20.13
kuytun,88,RU,1554251642,99,54.34,101.51,36.66,9.86
ponta do sol,64,BR,1554251642,91,-20.63,-46,67.53,1.59
chokurdakh,12,RU,1554251643,97,70.62,147.9,11.1,4.27
mamou,88,GN,1554251643,96,10.37,-12.08,68.88,0.92
jos,0,NG,1554251643,60,9.92,8.9,63.93,2.93
ituni,0,na,0,0,0,0,0,0
srandakan,80,ID,1554251644,97,-7.94,110.25,72.39,3.71
vereeniging,92,ZA,1554251541,69,-26.67,27.93,61,1.99
meulaboh,48,ID,1554251645,100,4.14,96.13,78.87,4.94
buariki,0,na,0,0,0,0,0,0
karauzyak,0,na,0,0,0,0,0,0
thunder bay,75,CA,1554251581,86,48.41,-89.26,33.8,13.87
tumannyy,0,na,0,0,0,0,0,0
bur gabo,0,na,0,0,0,0,0,0
guinticgan,92,PH,1554251646,79,11.56,123.12,80.49,8.97
bighapur,0,IN,1554249600,63,26.35,80.68,64.4,2.71
okhotsk,64,RU,1554251646,75,59.36,143.24,34.14,4.38
sarakhs,48,TM,1554249600,93,36.54,61.16,55.4,2.24
paita,56,PE,1554251647,64,-5.09,-81.11,78.96,7.63
harper,1,US,1554251501,28,30.3,-99.24,64.99,11.41
castro,76,CL,1554249600,87,-42.48,-73.76,50,6.93
pustoshka,0,RU,1554251583,73,56.34,29.37,22.8,2.93
ribeira brava,40,PT,1554251285,77,32.65,-17.07,60.8,16.11
berlevag,76,NO,1554251539,100,70.86,29.09,24.96,3.27
riaba,0,na,0,0,0,0,0,0
atar,20,MR,1554251649,85,20.52,-13.05,61.68,1.59
abha,0,SA,1554249600,72,18.22,42.5,60.8,4.7
fortuna,20,ES,1554251623,87,38.18,-1.13,57.99,2.24
haines junction,56,CA,1554251499,40,60.75,-137.51,43.41,2.82
leningradskiy,48,RU,1554251650,100,69.38,178.42,21.54,19.71
hami,12,CN,1554251650,54,42.84,93.51,44.49,3.49
huarmey,48,PE,1554251490,75,-10.07,-78.15,70.32,2.93
never,56,RU,1554251651,56,53.98,124.16,29.19,6.29
fairbanks,90,US,1554251505,52,64.84,-147.72,42.8,9.17
los llanos de aridane,64,ES,1554249600,72,28.66,-17.92,59,5.82
komsomolskiy,80,RU,1554251651,86,67.55,63.78,23.16,14.23
gravelbourg,56,CA,1554251605,43,49.88,-106.56,41.79,17.58
victoria,75,BN,1554249600,88,5.28,115.24,82.4,0.81
rungata,0,na,0,0,0,0,0,0
lorengau,88,PG,1554251653,97,-2.02,147.27,83.19,10.98
maraa,0,BR,1554251653,88,-1.83,-65.37,80.22,3.83
nishihara,20,JP,1554251624,26,35.74,139.53,52,14.99
avera,1,US,1554251603,76,33.19,-82.53,55.4,3.36
nago,40,IT,1554251645,58,45.88,10.89,59,2.24
indi,0,IN,1554251654,64,17.17,75.96,72.03,5.61
banda aceh,0,ID,1554251654,100,5.56,95.32,74.01,2.93
shache,0,CN,1554251654,79,38.42,77.24,35.67,3.27
ostrovnoy,68,RU,1554251655,89,68.05,39.51,30.9,14
rawson,0,AR,1554251655,29,-43.3,-65.11,62.13,7.4
kavieng,44,PG,1554251656,100,-2.57,150.8,82.2,4.83
pisco,75,PE,1554249600,83,-13.71,-76.2,69.8,17.22
ngukurr,0,na,0,0,0,0,0,0
tura,80,IN,1554251657,95,25.52,90.21,62.04,4.5
monduli,92,TZ,1554251657,96,-3.3,36.45,65.91,3.83
emerald,0,AU,1554251129,61,-23.53,148.16,77,12.75
san carlos de bariloche,0,AR,1554249600,54,-41.13,-71.31,55.4,8.05
bisira,48,PA,1554251658,82,8.52,-81.71,74.28,3.83
biak,76,ID,1554251658,100,-0.91,122.88,77.07,3.27
manta,12,RO,1554251659,40,45.1,24.1,35.4,5.95
port said,0,EG,1554251659,42,25.34,30.55,56.01,6.62
hay river,75,CA,1554249600,61,60.82,-115.79,17.6,9.17
jackson,1,US,1554251409,35,35.61,-88.82,60.8,4.7
norfolk,90,US,1554251349,87,36.85,-76.29,48.2,16.11
khash,48,IR,1554251660,64,28.22,61.21,52.05,3.6
acarau,0,na,0,0,0,0,0,0
morganton,1,US,1554252000,61,35.75,-81.69,53.6,5.73
ayr,40,GB,1554251537,86,55.46,-4.63,41,6.93
saint-georges,44,CA,1554251520,49,46.12,-70.67,37.99,7.18
valleyview,0,CA,1554251662,67,55.07,-117.28,42.78,3.6
constitucion,90,MX,1554251416,10,23.99,-104.67,75.2,20.8
spearfish,75,US,1554251491,33,44.49,-103.86,51.01,4.7
marzuq,0,YE,1554251662,90,14.4,46.47,50.07,2.59
dickinson,40,US,1554251458,26,46.88,-102.79,46.99,25.28
bom jardim,75,BR,1554246000,83,-7.8,-35.59,77,9.17
hare bay,20,CA,1554251526,69,48.86,-53.99,32,16.11
yuci,0,CN,1554249600,39,37.68,112.73,44.6,2.24
matagami,0,NG,1554251664,44,9.67,8.4,68.88,3.6
inta,80,RU,1554251664,82,66.04,60.13,27.48,6.96
ginir,0,ET,1554251665,81,7.14,40.71,55.47,3.04
lagoa,0,PT,1554251550,67,37.14,-8.45,59,5.82
caravelas,0,BR,1554251665,99,-17.73,-39.27,81.39,9.64
belmonte,0,PT,1554251609,88,40.36,-7.35,46.99,5.01
teya,75,MX,1554251425,51,21.05,-89.07,86,11.41
beaufort,75,MY,1554249600,88,5.36,115.76,80.6,3.15
nguiu,0,na,0,0,0,0,0,0
ayabe,20,JP,1554251404,100,35.36,135.35,46.4,1.12
tecoanapa,5,MX,1554248520,69,16.99,-99.26,82.4,8.05
victoria point,75,AU,1554251664,78,-27.58,153.3,77,13.87
acapulco,5,MX,1554248520,69,16.86,-99.88,82.4,8.05
port macquarie,92,AU,1554251405,68,-31.43,152.91,75.99,5.82
maryborough,88,AU,1554251668,85,-25.54,152.7,70.23,5.95
half moon bay,90,US,1554251632,82,37.46,-122.43,62.01,9.17
kachiry,48,KZ,1554251528,83,53.07,76.1,32.7,9.42
mount isa,0,AU,1554249600,39,-20.73,139.49,80.6,19.46
santa vitoria do palmar,20,BR,1554251433,75,-33.52,-53.37,73.74,7.52
katherine,0,AU,1554249600,58,-14.47,132.26,84.2,10.29
bealanana,20,MG,1554251670,89,-14.54,48.75,63.93,2.15
ilulissat,92,GL,1554249000,74,69.22,-51.1,35.6,26.4
vao,0,EE,1554251670,86,59.1,26.19,26.85,8.08
muromtsevo,88,RU,1554251671,84,56.37,75.24,25.32,3.71
kushiro,40,JP,1554249600,51,43.11,144.15,35.6,6.93
patratu,0,na,0,0,0,0,0,0
omsukchan,36,RU,1554251584,85,62.53,155.8,29.64,4.94
marion,1,US,1554251415,47,38.35,-97.02,57.99,3.36
kristiansund,12,NO,1554249000,59,63.12,7.73,37.4,11.41
road town,40,VG,1554251234,74,18.42,-64.62,79,6.93
cherskiy,32,RU,1554251673,76,68.75,161.3,32.43,5.95
marawi,44,PH,1554251423,83,8,124.29,80.01,3
ayorou,0,NE,1554251673,28,14.73,0.92,78.78,2.82
santa cruz cabralia,20,BR,1554249600,69,-16.28,-39.02,80.6,4.7
katsiveli,0,na,0,0,0,0,0,0
dunedin,0,NZ,1554251435,52,-45.87,170.5,60.01,11.01
koumac,76,NC,1554251674,76,-20.56,164.28,82.38,5.95
puerto escondido,5,MX,1554248700,66,15.86,-97.07,84.2,6.17
kang,48,BW,1554251675,72,-23.67,22.79,66.81,11.99
